timestamp,epic,bid,ask,price,volume,timeframe
2026-03-11T03:58:27.960Z,CS.D.EURUSD.MINI.IP,1.16303,1.16309,1.16306,146,1h
2026-03-11T03:58:28.313Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,351,1h
2026-03-11T03:58:28.544Z,CS.D.EURUSD.MINI.IP,1.16303,1.16309,1.16306,412,1h
2026-03-11T03:58:28.965Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,541,1h
2026-03-11T03:58:29.538Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,907,1h
2026-03-11T03:58:29.865Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,947,1h
2026-03-11T03:58:29.886Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,817,1h
2026-03-11T03:58:29.939Z,CS.D.EURUSD.MINI.IP,1.163,1.16306,1.16303,392,1h
2026-03-11T03:58:30.208Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,343,1h
2026-03-11T03:58:30.274Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,879,1h
2026-03-11T03:58:30.959Z,CS.D.EURUSD.MINI.IP,1.163,1.16306,1.16303,284,1h
2026-03-11T03:58:31.322Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,480,1h
2026-03-11T03:58:31.553Z,CS.D.EURUSD.MINI.IP,1.163,1.16306,1.16303,670,1h
2026-03-11T03:58:31.880Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,326,1h
2026-03-11T03:58:32.495Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,343,1h
2026-03-11T03:58:32.817Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,355,1h
2026-03-11T03:58:32.849Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,451,1h
2026-03-11T03:58:32.859Z,CS.D.GBPUSD.MINI.IP,1.34523,1.34532,1.345275,375,1h
2026-03-11T03:58:33.152Z,CS.D.GBPUSD.MINI.IP,1.34524,1.34533,1.345285,408,1h
2026-03-11T03:58:33.187Z,CS.D.GBPUSD.MINI.IP,1.34524,1.34533,1.345285,795,1h
2026-03-11T03:58:33.984Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,740,1h
2026-03-11T03:58:34.340Z,CS.D.GBPUSD.MINI.IP,1.34526,1.34535,1.345305,663,1h
2026-03-11T03:58:34.554Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,519,1h
2026-03-11T03:59:26.678Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,1041,1h
2026-03-11T03:59:26.956Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,996,1h
2026-03-11T03:59:26.963Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,639,1h
2026-03-11T03:59:27.029Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,1003,1h
2026-03-11T03:59:27.294Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,1029,1h
2026-03-11T03:59:27.296Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,189,1h
2026-03-11T03:59:28.107Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,564,1h
2026-03-11T03:59:28.441Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,931,1h
2026-03-11T03:59:28.692Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,432,1h
2026-03-11T03:59:29.076Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,609,1h
2026-03-11T03:59:29.662Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,317,1h
2026-03-11T03:59:29.975Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,963,1h
2026-03-11T03:59:30.006Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,518,1h
2026-03-11T03:59:30.088Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,811,1h
2026-03-11T03:59:30.332Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,694,1h
2026-03-11T03:59:30.416Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,299,1h
2026-03-11T03:59:31.127Z,CS.D.EURUSD.MINI.IP,1.16302,1.16308,1.16305,439,1h
2026-03-11T03:59:31.476Z,CS.D.GBPUSD.MINI.IP,1.34519,1.34528,1.3452350000000002,348,1h
2026-03-11T03:59:31.716Z,CS.D.EURUSD.MINI.IP,1.16301,1.16307,1.16304,668,1h
2026-03-11T03:59:32.122Z,CS.D.GBPUSD.MINI.IP,1.3452,1.34529,1.345245,525,1h
2026-03-11T03:59:32.676Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,334,1h
2026-03-11T03:59:32.957Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,919,1h
2026-03-11T03:59:32.999Z,CS.D.GBPUSD.MINI.IP,1.3452,1.34529,1.345245,1025,1h
2026-03-11T03:59:33.012Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,503,1h
2026-03-11T03:59:33.285Z,CS.D.GBPUSD.MINI.IP,1.3452,1.34529,1.345245,513,1h
2026-03-11T03:59:33.382Z,CS.D.GBPUSD.MINI.IP,1.3452,1.34529,1.345245,776,1h
2026-03-11T03:59:34.145Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,261,1h
2026-03-11T03:59:34.489Z,CS.D.GBPUSD.MINI.IP,1.34521,1.3453,1.3452549999999999,576,1h
2026-03-11T03:59:34.695Z,CS.D.EURUSD.MINI.IP,1.16305,1.16311,1.16308,427,1h
2026-03-11T04:00:26.787Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,1036,1h
2026-03-11T04:00:27.069Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,349,1h
2026-03-11T04:00:27.125Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,1057,1h
2026-03-11T04:00:27.130Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,148,1h
2026-03-11T04:00:27.400Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,822,1h
2026-03-11T04:00:27.454Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,341,1h
2026-03-11T04:00:28.270Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,204,1h
2026-03-11T04:00:28.612Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,387,1h
2026-03-11T04:00:28.839Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,1046,1h
2026-03-11T04:00:29.184Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,288,1h
2026-03-11T04:00:29.774Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,231,1h
2026-03-11T04:00:30.085Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,214,1h
2026-03-11T04:00:30.111Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,385,1h
2026-03-11T04:00:30.174Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,113,1h
2026-03-11T04:00:30.430Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,553,1h
2026-03-11T04:00:30.504Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,1051,1h
2026-03-11T04:00:31.282Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,116,1h
2026-03-11T04:00:31.602Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,398,1h
2026-03-11T04:00:31.833Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,649,1h
2026-03-11T04:00:32.178Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,591,1h
2026-03-11T04:00:32.787Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,112,1h
2026-03-11T04:00:33.075Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,592,1h
2026-03-11T04:00:33.128Z,CS.D.GBPUSD.MINI.IP,1.34511,1.3452,1.345155,417,1h
2026-03-11T04:00:33.154Z,CS.D.EURUSD.MINI.IP,1.16294,1.163,1.16297,1031,1h
2026-03-11T04:00:33.405Z,CS.D.GBPUSD.MINI.IP,1.34508,1.34517,1.345125,358,1h
2026-03-11T04:00:33.497Z,CS.D.GBPUSD.MINI.IP,1.34508,1.34517,1.345125,349,1h
2026-03-11T04:00:34.297Z,CS.D.EURUSD.MINI.IP,1.16292,1.16298,1.16295,250,1h
2026-03-11T04:00:34.648Z,CS.D.GBPUSD.MINI.IP,1.34509,1.34518,1.345135,509,1h
2026-03-11T04:00:34.846Z,CS.D.EURUSD.MINI.IP,1.16292,1.16298,1.16295,755,1h
2026-03-11T04:01:26.794Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,694,1h
2026-03-11T04:01:26.923Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,425,1h
2026-03-11T04:01:27.553Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,761,1h
2026-03-11T04:01:27.589Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,920,1h
2026-03-11T04:01:27.874Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,837,1h
2026-03-11T04:01:27.905Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,910,1h
2026-03-11T04:01:28.016Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,529,1h
2026-03-11T04:01:28.442Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,514,1h
2026-03-11T04:01:28.772Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,620,1h
2026-03-11T04:01:28.970Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,532,1h
2026-03-11T04:01:29.418Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,522,1h
2026-03-11T04:01:30.099Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,216,1h
2026-03-11T04:01:30.270Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,136,1h
2026-03-11T04:01:30.275Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,1003,1h
2026-03-11T04:01:30.428Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,464,1h
2026-03-11T04:01:30.595Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,1064,1h
2026-03-11T04:01:30.598Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,703,1h
2026-03-11T04:01:31.413Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,368,1h
2026-03-11T04:01:31.752Z,CS.D.GBPUSD.MINI.IP,1.34503,1.34512,1.345075,903,1h
2026-03-11T04:01:32.037Z,CS.D.EURUSD.MINI.IP,1.16284,1.1629,1.16287,563,1h
2026-03-11T04:01:32.418Z,CS.D.GBPUSD.MINI.IP,1.34501,1.3451,1.345055,783,1h
2026-03-11T04:01:32.940Z,CS.D.EURUSD.MINI.IP,1.16286,1.16292,1.16289,320,1h
2026-03-11T04:01:33.235Z,CS.D.EURUSD.MINI.IP,1.16286,1.16292,1.16289,190,1h
2026-03-11T04:01:33.269Z,CS.D.EURUSD.MINI.IP,1.16286,1.16292,1.16289,924,1h
2026-03-11T04:02:27.066Z,CS.D.EURUSD.MINI.IP,1.16282,1.16288,1.16285,515,1h
2026-03-11T04:02:27.322Z,CS.D.EURUSD.MINI.IP,1.16282,1.16288,1.16285,723,1h
2026-03-11T04:02:27.385Z,CS.D.EURUSD.MINI.IP,1.16282,1.16288,1.16285,144,1h
2026-03-11T04:02:27.399Z,CS.D.GBPUSD.MINI.IP,1.34499,1.34508,1.345035,706,1h
2026-03-11T04:02:27.680Z,CS.D.GBPUSD.MINI.IP,1.34497,1.34506,1.345015,659,1h
